input,output,split
75 + 41 = ???,75 + 41 = 116,valid
43 + 89 = ???,43 + 89 = 132,valid
70 + 06 = ???,70 + 06 = 076,valid
60 + 55 = ???,60 + 55 = 115,valid
25 + 20 = ???,25 + 20 = 045,valid
28 + 55 = ???,28 + 55 = 083,valid
85 + 97 = ???,85 + 97 = 182,valid
75 + 17 = ???,75 + 17 = 092,valid
38 + 05 = ???,38 + 05 = 043,valid
76 + 16 = ???,76 + 16 = 092,valid
65 + 04 = ???,65 + 04 = 069,valid
40 + 59 = ???,40 + 59 = 099,valid
82 + 66 = ???,82 + 66 = 148,valid
97 + 85 = ???,97 + 85 = 182,valid
50 + 41 = ???,50 + 41 = 091,valid
73 + 45 = ???,73 + 45 = 118,valid
63 + 97 = ???,63 + 97 = 160,valid
04 + 77 = ???,04 + 77 = 081,valid
74 + 54 = ???,74 + 54 = 128,valid
00 + 56 = ???,00 + 56 = 056,valid
85 + 84 = ???,85 + 84 = 169,valid
07 + 66 = ???,07 + 66 = 073,valid
20 + 24 = ???,20 + 24 = 044,valid
17 + 62 = ???,17 + 62 = 079,valid
42 + 69 = ???,42 + 69 = 111,valid
56 + 33 = ???,56 + 33 = 089,valid
40 + 97 = ???,40 + 97 = 137,valid
21 + 67 = ???,21 + 67 = 088,valid
11 + 47 = ???,11 + 47 = 058,valid
88 + 24 = ???,88 + 24 = 112,valid
01 + 81 = ???,01 + 81 = 082,valid
65 + 98 = ???,65 + 98 = 163,valid
12 + 13 = ???,12 + 13 = 025,valid
74 + 68 = ???,74 + 68 = 142,valid
30 + 36 = ???,30 + 36 = 066,valid
04 + 94 = ???,04 + 94 = 098,valid
25 + 29 = ???,25 + 29 = 054,valid
40 + 18 = ???,40 + 18 = 058,valid
26 + 46 = ???,26 + 46 = 072,valid
13 + 67 = ???,13 + 67 = 080,valid
99 + 13 = ???,99 + 13 = 112,valid
31 + 58 = ???,31 + 58 = 089,valid
64 + 85 = ???,64 + 85 = 149,valid
16 + 92 = ???,16 + 92 = 108,valid
95 + 43 = ???,95 + 43 = 138,valid
14 + 28 = ???,14 + 28 = 042,valid
56 + 64 = ???,56 + 64 = 120,valid
68 + 81 = ???,68 + 81 = 149,valid
15 + 56 = ???,15 + 56 = 071,valid
17 + 89 = ???,17 + 89 = 106,valid
72 + 27 = ???,72 + 27 = 099,valid
80 + 45 = ???,80 + 45 = 125,valid
17 + 65 = ???,17 + 65 = 082,valid
82 + 62 = ???,82 + 62 = 144,valid
10 + 80 = ???,10 + 80 = 090,valid
42 + 32 = ???,42 + 32 = 074,valid
22 + 59 = ???,22 + 59 = 081,valid
68 + 66 = ???,68 + 66 = 134,valid
15 + 19 = ???,15 + 19 = 034,valid
31 + 98 = ???,31 + 98 = 129,valid
78 + 53 = ???,78 + 53 = 131,valid
31 + 50 = ???,31 + 50 = 081,valid
58 + 69 = ???,58 + 69 = 127,valid
91 + 51 = ???,91 + 51 = 142,valid
48 + 66 = ???,48 + 66 = 114,valid
58 + 56 = ???,58 + 56 = 114,valid
18 + 90 = ???,18 + 90 = 108,valid
59 + 09 = ???,59 + 09 = 068,valid
01 + 92 = ???,01 + 92 = 093,valid
00 + 70 = ???,00 + 70 = 070,valid
42 + 54 = ???,42 + 54 = 096,valid
58 + 94 = ???,58 + 94 = 152,valid
38 + 67 = ???,38 + 67 = 105,valid
67 + 07 = ???,67 + 07 = 074,valid
35 + 20 = ???,35 + 20 = 055,valid
77 + 51 = ???,77 + 51 = 128,valid
96 + 37 = ???,96 + 37 = 133,valid
68 + 87 = ???,68 + 87 = 155,valid
87 + 50 = ???,87 + 50 = 137,valid
98 + 36 = ???,98 + 36 = 134,valid
31 + 94 = ???,31 + 94 = 125,valid
92 + 98 = ???,92 + 98 = 190,valid
46 + 94 = ???,46 + 94 = 140,valid
38 + 13 = ???,38 + 13 = 051,valid
45 + 66 = ???,45 + 66 = 111,valid
32 + 01 = ???,32 + 01 = 033,valid
93 + 00 = ???,93 + 00 = 093,valid
35 + 24 = ???,35 + 24 = 059,valid
46 + 25 = ???,46 + 25 = 071,valid
42 + 99 = ???,42 + 99 = 141,valid
84 + 70 = ???,84 + 70 = 154,valid
25 + 44 = ???,25 + 44 = 069,valid
14 + 10 = ???,14 + 10 = 024,valid
73 + 55 = ???,73 + 55 = 128,valid
65 + 68 = ???,65 + 68 = 133,valid
08 + 06 = ???,08 + 06 = 014,valid
41 + 28 = ???,41 + 28 = 069,valid
76 + 04 = ???,76 + 04 = 080,valid
41 + 52 = ???,41 + 52 = 093,valid
99 + 42 = ???,99 + 42 = 141,valid
06 + 47 = ???,06 + 47 = 053,valid
97 + 75 = ???,97 + 75 = 172,valid
84 + 97 = ???,84 + 97 = 181,valid
26 + 07 = ???,26 + 07 = 033,valid
05 + 20 = ???,05 + 20 = 025,valid
75 + 56 = ???,75 + 56 = 131,valid
44 + 47 = ???,44 + 47 = 091,valid
20 + 83 = ???,20 + 83 = 103,valid
03 + 92 = ???,03 + 92 = 095,valid
56 + 40 = ???,56 + 40 = 096,valid
09 + 82 = ???,09 + 82 = 091,valid
93 + 85 = ???,93 + 85 = 178,valid
64 + 30 = ???,64 + 30 = 094,valid
15 + 25 = ???,15 + 25 = 040,valid
56 + 39 = ???,56 + 39 = 095,valid
07 + 23 = ???,07 + 23 = 030,valid
96 + 99 = ???,96 + 99 = 195,valid
51 + 42 = ???,51 + 42 = 093,valid
15 + 66 = ???,15 + 66 = 081,valid
34 + 49 = ???,34 + 49 = 083,valid
69 + 52 = ???,69 + 52 = 121,valid
65 + 63 = ???,65 + 63 = 128,valid
51 + 68 = ???,51 + 68 = 119,valid
85 + 40 = ???,85 + 40 = 125,valid
70 + 43 = ???,70 + 43 = 113,valid
81 + 99 = ???,81 + 99 = 180,valid
34 + 41 = ???,34 + 41 = 075,valid
94 + 79 = ???,94 + 79 = 173,valid
10 + 89 = ???,10 + 89 = 099,valid
32 + 36 = ???,32 + 36 = 068,valid
34 + 33 = ???,34 + 33 = 067,valid
48 + 69 = ???,48 + 69 = 117,valid
33 + 39 = ???,33 + 39 = 072,valid
52 + 59 = ???,52 + 59 = 111,valid
76 + 22 = ???,76 + 22 = 098,valid
57 + 10 = ???,57 + 10 = 067,valid
42 + 59 = ???,42 + 59 = 101,valid
69 + 76 = ???,69 + 76 = 145,valid
25 + 77 = ???,25 + 77 = 102,valid
91 + 01 = ???,91 + 01 = 092,valid
77 + 89 = ???,77 + 89 = 166,valid
00 + 92 = ???,00 + 92 = 092,valid
67 + 72 = ???,67 + 72 = 139,valid
64 + 26 = ???,64 + 26 = 090,valid
55 + 83 = ???,55 + 83 = 138,valid
56 + 05 = ???,56 + 05 = 061,valid
85 + 13 = ???,85 + 13 = 098,valid
84 + 10 = ???,84 + 10 = 094,valid
02 + 18 = ???,02 + 18 = 020,valid
53 + 82 = ???,53 + 82 = 135,valid
77 + 85 = ???,77 + 85 = 162,valid
09 + 30 = ???,09 + 30 = 039,valid
70 + 42 = ???,70 + 42 = 112,valid
15 + 90 = ???,15 + 90 = 105,valid
63 + 73 = ???,63 + 73 = 136,valid
23 + 58 = ???,23 + 58 = 081,valid
75 + 76 = ???,75 + 76 = 151,valid
50 + 54 = ???,50 + 54 = 104,valid
30 + 97 = ???,30 + 97 = 127,valid
18 + 31 = ???,18 + 31 = 049,valid
01 + 60 = ???,01 + 60 = 061,valid
66 + 92 = ???,66 + 92 = 158,valid
84 + 24 = ???,84 + 24 = 108,valid
39 + 66 = ???,39 + 66 = 105,valid
03 + 38 = ???,03 + 38 = 041,valid
84 + 04 = ???,84 + 04 = 088,valid
69 + 40 = ???,69 + 40 = 109,valid
58 + 57 = ???,58 + 57 = 115,valid
76 + 47 = ???,76 + 47 = 123,valid
32 + 02 = ???,32 + 02 = 034,valid
04 + 67 = ???,04 + 67 = 071,valid
49 + 40 = ???,49 + 40 = 089,valid
74 + 84 = ???,74 + 84 = 158,valid
35 + 82 = ???,35 + 82 = 117,valid
42 + 61 = ???,42 + 61 = 103,valid
17 + 48 = ???,17 + 48 = 065,valid
98 + 98 = ???,98 + 98 = 196,valid
68 + 55 = ???,68 + 55 = 123,valid
76 + 10 = ???,76 + 10 = 086,valid
83 + 00 = ???,83 + 00 = 083,valid
48 + 08 = ???,48 + 08 = 056,valid
46 + 08 = ???,46 + 08 = 054,valid
27 + 21 = ???,27 + 21 = 048,valid
36 + 04 = ???,36 + 04 = 040,valid
64 + 95 = ???,64 + 95 = 159,valid
82 + 51 = ???,82 + 51 = 133,valid
13 + 08 = ???,13 + 08 = 021,valid
96 + 56 = ???,96 + 56 = 152,valid
29 + 42 = ???,29 + 42 = 071,valid
95 + 22 = ???,95 + 22 = 117,valid
08 + 10 = ???,08 + 10 = 018,valid
98 + 87 = ???,98 + 87 = 185,valid
41 + 87 = ???,41 + 87 = 128,valid
75 + 77 = ???,75 + 77 = 152,valid
12 + 16 = ???,12 + 16 = 028,valid
15 + 98 = ???,15 + 98 = 113,valid
51 + 31 = ???,51 + 31 = 082,valid
20 + 05 = ???,20 + 05 = 025,valid
63 + 36 = ???,63 + 36 = 099,valid
51 + 97 = ???,51 + 97 = 148,valid
72 + 15 = ???,72 + 15 = 087,valid
70 + 90 = ???,70 + 90 = 160,valid
75 + 64 = ???,75 + 64 = 139,valid
79 + 83 = ???,79 + 83 = 162,valid
18 + 87 = ???,18 + 87 = 105,valid
43 + 10 = ???,43 + 10 = 053,valid
31 + 29 = ???,31 + 29 = 060,valid
45 + 36 = ???,45 + 36 = 081,valid
90 + 74 = ???,90 + 74 = 164,valid
51 + 69 = ???,51 + 69 = 120,valid
24 + 09 = ???,24 + 09 = 033,valid
77 + 02 = ???,77 + 02 = 079,valid
99 + 70 = ???,99 + 70 = 169,valid
13 + 99 = ???,13 + 99 = 112,valid
72 + 18 = ???,72 + 18 = 090,valid
45 + 28 = ???,45 + 28 = 073,valid
79 + 74 = ???,79 + 74 = 153,valid
60 + 20 = ???,60 + 20 = 080,valid
75 + 90 = ???,75 + 90 = 165,valid
03 + 69 = ???,03 + 69 = 072,valid
90 + 24 = ???,90 + 24 = 114,valid
50 + 38 = ???,50 + 38 = 088,valid
36 + 81 = ???,36 + 81 = 117,valid
74 + 09 = ???,74 + 09 = 083,valid
25 + 87 = ???,25 + 87 = 112,valid
15 + 76 = ???,15 + 76 = 091,valid
58 + 40 = ???,58 + 40 = 098,valid
55 + 23 = ???,55 + 23 = 078,valid
73 + 69 = ???,73 + 69 = 142,valid
88 + 08 = ???,88 + 08 = 096,valid
20 + 03 = ???,20 + 03 = 023,valid
74 + 64 = ???,74 + 64 = 138,valid
92 + 64 = ???,92 + 64 = 156,valid
73 + 96 = ???,73 + 96 = 169,valid
35 + 53 = ???,35 + 53 = 088,valid
37 + 84 = ???,37 + 84 = 121,valid
37 + 32 = ???,37 + 32 = 069,valid
43 + 54 = ???,43 + 54 = 097,valid
12 + 64 = ???,12 + 64 = 076,valid
56 + 76 = ???,56 + 76 = 132,valid
59 + 43 = ???,59 + 43 = 102,valid
54 + 20 = ???,54 + 20 = 074,valid
92 + 94 = ???,92 + 94 = 186,valid
52 + 51 = ???,52 + 51 = 103,valid
99 + 91 = ???,99 + 91 = 190,valid
56 + 98 = ???,56 + 98 = 154,valid
47 + 72 = ???,47 + 72 = 119,valid
88 + 71 = ???,88 + 71 = 159,valid
74 + 58 = ???,74 + 58 = 132,valid
94 + 61 = ???,94 + 61 = 155,valid
09 + 84 = ???,09 + 84 = 093,valid
59 + 00 = ???,59 + 00 = 059,valid
64 + 48 = ???,64 + 48 = 112,valid
69 + 75 = ???,69 + 75 = 144,valid
68 + 24 = ???,68 + 24 = 092,valid
19 + 04 = ???,19 + 04 = 023,valid
29 + 92 = ???,29 + 92 = 121,valid
64 + 75 = ???,64 + 75 = 139,valid
83 + 72 = ???,83 + 72 = 155,valid
73 + 21 = ???,73 + 21 = 094,valid
73 + 20 = ???,73 + 20 = 093,valid
80 + 83 = ???,80 + 83 = 163,valid
38 + 49 = ???,38 + 49 = 087,valid
56 + 52 = ???,56 + 52 = 108,valid
30 + 54 = ???,30 + 54 = 084,valid
74 + 44 = ???,74 + 44 = 118,valid
01 + 27 = ???,01 + 27 = 028,valid
78 + 44 = ???,78 + 44 = 122,valid
37 + 65 = ???,37 + 65 = 102,valid
52 + 64 = ???,52 + 64 = 116,valid
27 + 50 = ???,27 + 50 = 077,valid
93 + 17 = ???,93 + 17 = 110,valid
95 + 08 = ???,95 + 08 = 103,valid
92 + 55 = ???,92 + 55 = 147,valid
10 + 02 = ???,10 + 02 = 012,valid
42 + 36 = ???,42 + 36 = 078,valid
59 + 36 = ???,59 + 36 = 095,valid
77 + 97 = ???,77 + 97 = 174,valid
85 + 65 = ???,85 + 65 = 150,valid
04 + 58 = ???,04 + 58 = 062,valid
35 + 39 = ???,35 + 39 = 074,valid
40 + 57 = ???,40 + 57 = 097,valid
05 + 11 = ???,05 + 11 = 016,valid
44 + 34 = ???,44 + 34 = 078,valid
52 + 24 = ???,52 + 24 = 076,valid
80 + 29 = ???,80 + 29 = 109,valid
16 + 49 = ???,16 + 49 = 065,valid
10 + 55 = ???,10 + 55 = 065,valid
55 + 45 = ???,55 + 45 = 100,valid
59 + 12 = ???,59 + 12 = 071,valid
84 + 62 = ???,84 + 62 = 146,valid
45 + 44 = ???,45 + 44 = 089,valid
66 + 78 = ???,66 + 78 = 144,valid
32 + 97 = ???,32 + 97 = 129,valid
48 + 07 = ???,48 + 07 = 055,valid
82 + 42 = ???,82 + 42 = 124,valid
92 + 50 = ???,92 + 50 = 142,valid
19 + 27 = ???,19 + 27 = 046,valid
00 + 67 = ???,00 + 67 = 067,valid
53 + 46 = ???,53 + 46 = 099,valid
51 + 94 = ???,51 + 94 = 145,valid
54 + 17 = ???,54 + 17 = 071,valid
13 + 57 = ???,13 + 57 = 070,valid
29 + 53 = ???,29 + 53 = 082,valid
90 + 42 = ???,90 + 42 = 132,valid
74 + 50 = ???,74 + 50 = 124,valid
34 + 14 = ???,34 + 14 = 048,valid
43 + 27 = ???,43 + 27 = 070,valid
92 + 90 = ???,92 + 90 = 182,valid
36 + 53 = ???,36 + 53 = 089,valid
36 + 60 = ???,36 + 60 = 096,valid
70 + 03 = ???,70 + 03 = 073,valid
62 + 94 = ???,62 + 94 = 156,valid
46 + 74 = ???,46 + 74 = 120,valid
60 + 29 = ???,60 + 29 = 089,valid
82 + 85 = ???,82 + 85 = 167,valid
68 + 25 = ???,68 + 25 = 093,valid
16 + 04 = ???,16 + 04 = 020,valid
86 + 49 = ???,86 + 49 = 135,valid
85 + 09 = ???,85 + 09 = 094,valid
21 + 81 = ???,21 + 81 = 102,valid
48 + 82 = ???,48 + 82 = 130,valid
16 + 62 = ???,16 + 62 = 078,valid
96 + 83 = ???,96 + 83 = 179,valid
29 + 00 = ???,29 + 00 = 029,valid
70 + 87 = ???,70 + 87 = 157,valid
86 + 82 = ???,86 + 82 = 168,valid
44 + 38 = ???,44 + 38 = 082,valid
00 + 14 = ???,00 + 14 = 014,valid
69 + 78 = ???,69 + 78 = 147,valid
06 + 15 = ???,06 + 15 = 021,valid
60 + 30 = ???,60 + 30 = 090,valid
70 + 68 = ???,70 + 68 = 138,valid
15 + 22 = ???,15 + 22 = 037,valid
62 + 73 = ???,62 + 73 = 135,valid
88 + 13 = ???,88 + 13 = 101,valid
27 + 89 = ???,27 + 89 = 116,valid
11 + 30 = ???,11 + 30 = 041,valid
14 + 55 = ???,14 + 55 = 069,valid
97 + 38 = ???,97 + 38 = 135,valid
30 + 61 = ???,30 + 61 = 091,valid
36 + 76 = ???,36 + 76 = 112,valid
91 + 46 = ???,91 + 46 = 137,valid
08 + 36 = ???,08 + 36 = 044,valid
92 + 72 = ???,92 + 72 = 164,valid
00 + 18 = ???,00 + 18 = 018,valid
56 + 61 = ???,56 + 61 = 117,valid
37 + 58 = ???,37 + 58 = 095,valid
07 + 98 = ???,07 + 98 = 105,valid
95 + 78 = ???,95 + 78 = 173,valid
50 + 77 = ???,50 + 77 = 127,valid
18 + 51 = ???,18 + 51 = 069,valid
07 + 52 = ???,07 + 52 = 059,valid
92 + 19 = ???,92 + 19 = 111,valid
85 + 95 = ???,85 + 95 = 180,valid
87 + 71 = ???,87 + 71 = 158,valid
18 + 53 = ???,18 + 53 = 071,valid
81 + 60 = ???,81 + 60 = 141,valid
87 + 38 = ???,87 + 38 = 125,valid
47 + 68 = ???,47 + 68 = 115,valid
79 + 16 = ???,79 + 16 = 095,valid
43 + 39 = ???,43 + 39 = 082,valid
60 + 02 = ???,60 + 02 = 062,valid
13 + 32 = ???,13 + 32 = 045,valid
96 + 42 = ???,96 + 42 = 138,valid
52 + 39 = ???,52 + 39 = 091,valid
42 + 27 = ???,42 + 27 = 069,valid
89 + 85 = ???,89 + 85 = 174,valid
90 + 75 = ???,90 + 75 = 165,valid
78 + 12 = ???,78 + 12 = 090,valid
10 + 27 = ???,10 + 27 = 037,valid
59 + 24 = ???,59 + 24 = 083,valid
74 + 24 = ???,74 + 24 = 098,valid
24 + 19 = ???,24 + 19 = 043,valid
86 + 23 = ???,86 + 23 = 109,valid
51 + 40 = ???,51 + 40 = 091,valid
14 + 90 = ???,14 + 90 = 104,valid
39 + 58 = ???,39 + 58 = 097,valid
24 + 88 = ???,24 + 88 = 112,valid
42 + 97 = ???,42 + 97 = 139,valid
55 + 69 = ???,55 + 69 = 124,valid
39 + 63 = ???,39 + 63 = 102,valid
09 + 87 = ???,09 + 87 = 096,valid
77 + 03 = ???,77 + 03 = 080,valid
50 + 92 = ???,50 + 92 = 142,valid
29 + 97 = ???,29 + 97 = 126,valid
10 + 16 = ???,10 + 16 = 026,valid
94 + 99 = ???,94 + 99 = 193,valid
48 + 89 = ???,48 + 89 = 137,valid
40 + 68 = ???,40 + 68 = 108,valid
68 + 77 = ???,68 + 77 = 145,valid
33 + 99 = ???,33 + 99 = 132,valid
54 + 58 = ???,54 + 58 = 112,valid
81 + 88 = ???,81 + 88 = 169,valid
32 + 88 = ???,32 + 88 = 120,valid
71 + 07 = ???,71 + 07 = 078,valid
99 + 40 = ???,99 + 40 = 139,valid
34 + 55 = ???,34 + 55 = 089,valid
19 + 95 = ???,19 + 95 = 114,valid
90 + 86 = ???,90 + 86 = 176,valid
39 + 82 = ???,39 + 82 = 121,valid
31 + 31 = ???,31 + 31 = 062,valid
91 + 00 = ???,91 + 00 = 091,valid
39 + 56 = ???,39 + 56 = 095,valid
67 + 24 = ???,67 + 24 = 091,valid
08 + 18 = ???,08 + 18 = 026,valid
16 + 76 = ???,16 + 76 = 092,valid
54 + 60 = ???,54 + 60 = 114,valid
07 + 43 = ???,07 + 43 = 050,valid
07 + 50 = ???,07 + 50 = 057,valid
48 + 73 = ???,48 + 73 = 121,valid
15 + 02 = ???,15 + 02 = 017,valid
63 + 87 = ???,63 + 87 = 150,valid
05 + 57 = ???,05 + 57 = 062,valid
75 + 00 = ???,75 + 00 = 075,valid
85 + 61 = ???,85 + 61 = 146,valid
05 + 51 = ???,05 + 51 = 056,valid
98 + 91 = ???,98 + 91 = 189,valid
54 + 73 = ???,54 + 73 = 127,valid
48 + 22 = ???,48 + 22 = 070,valid
75 + 36 = ???,75 + 36 = 111,valid
22 + 62 = ???,22 + 62 = 084,valid
31 + 45 = ???,31 + 45 = 076,valid
92 + 47 = ???,92 + 47 = 139,valid
70 + 12 = ???,70 + 12 = 082,valid
81 + 92 = ???,81 + 92 = 173,valid
81 + 56 = ???,81 + 56 = 137,valid
38 + 40 = ???,38 + 40 = 078,valid
24 + 01 = ???,24 + 01 = 025,valid
33 + 79 = ???,33 + 79 = 112,valid
13 + 23 = ???,13 + 23 = 036,valid
91 + 72 = ???,91 + 72 = 163,valid
40 + 22 = ???,40 + 22 = 062,valid
91 + 02 = ???,91 + 02 = 093,valid
74 + 45 = ???,74 + 45 = 119,valid
63 + 65 = ???,63 + 65 = 128,valid
14 + 75 = ???,14 + 75 = 089,valid
02 + 84 = ???,02 + 84 = 086,valid
67 + 08 = ???,67 + 08 = 075,valid
37 + 38 = ???,37 + 38 = 075,valid
20 + 88 = ???,20 + 88 = 108,valid
25 + 47 = ???,25 + 47 = 072,valid
81 + 25 = ???,81 + 25 = 106,valid
53 + 86 = ???,53 + 86 = 139,valid
47 + 19 = ???,47 + 19 = 066,valid
40 + 28 = ???,40 + 28 = 068,valid
40 + 08 = ???,40 + 08 = 048,valid
26 + 90 = ???,26 + 90 = 116,valid
85 + 89 = ???,85 + 89 = 174,valid
20 + 37 = ???,20 + 37 = 057,valid
64 + 58 = ???,64 + 58 = 122,valid
90 + 67 = ???,90 + 67 = 157,valid
71 + 71 = ???,71 + 71 = 142,valid
85 + 36 = ???,85 + 36 = 121,valid
77 + 56 = ???,77 + 56 = 133,valid
26 + 17 = ???,26 + 17 = 043,valid
50 + 10 = ???,50 + 10 = 060,valid
65 + 59 = ???,65 + 59 = 124,valid
87 + 79 = ???,87 + 79 = 166,valid
14 + 35 = ???,14 + 35 = 049,valid
05 + 47 = ???,05 + 47 = 052,valid
47 + 02 = ???,47 + 02 = 049,valid
51 + 32 = ???,51 + 32 = 083,valid
22 + 16 = ???,22 + 16 = 038,valid
22 + 78 = ???,22 + 78 = 100,valid
46 + 41 = ???,46 + 41 = 087,valid
72 + 25 = ???,72 + 25 = 097,valid
54 + 63 = ???,54 + 63 = 117,valid
41 + 47 = ???,41 + 47 = 088,valid
43 + 96 = ???,43 + 96 = 139,valid
23 + 73 = ???,23 + 73 = 096,valid
35 + 35 = ???,35 + 35 = 070,valid
97 + 44 = ???,97 + 44 = 141,valid
33 + 46 = ???,33 + 46 = 079,valid
88 + 77 = ???,88 + 77 = 165,valid
33 + 57 = ???,33 + 57 = 090,valid
63 + 74 = ???,63 + 74 = 137,valid
33 + 43 = ???,33 + 43 = 076,valid
78 + 83 = ???,78 + 83 = 161,valid
46 + 45 = ???,46 + 45 = 091,valid
49 + 25 = ???,49 + 25 = 074,valid
61 + 10 = ???,61 + 10 = 071,valid
83 + 54 = ???,83 + 54 = 137,valid
26 + 72 = ???,26 + 72 = 098,valid
09 + 44 = ???,09 + 44 = 053,valid
30 + 22 = ???,30 + 22 = 052,valid
75 + 49 = ???,75 + 49 = 124,valid
18 + 21 = ???,18 + 21 = 039,valid
18 + 47 = ???,18 + 47 = 065,valid
06 + 79 = ???,06 + 79 = 085,valid
00 + 35 = ???,00 + 35 = 035,valid
45 + 59 = ???,45 + 59 = 104,valid
98 + 35 = ???,98 + 35 = 133,valid
92 + 43 = ???,92 + 43 = 135,valid
36 + 61 = ???,36 + 61 = 097,valid
83 + 82 = ???,83 + 82 = 165,valid
91 + 65 = ???,91 + 65 = 156,valid
66 + 99 = ???,66 + 99 = 165,valid
77 + 52 = ???,77 + 52 = 129,valid
87 + 20 = ???,87 + 20 = 107,valid
03 + 98 = ???,03 + 98 = 101,valid
42 + 94 = ???,42 + 94 = 136,valid
79 + 61 = ???,79 + 61 = 140,valid
71 + 72 = ???,71 + 72 = 143,valid
68 + 85 = ???,68 + 85 = 153,valid
29 + 16 = ???,29 + 16 = 045,valid
31 + 63 = ???,31 + 63 = 094,valid
21 + 16 = ???,21 + 16 = 037,valid
34 + 34 = ???,34 + 34 = 068,valid
22 + 19 = ???,22 + 19 = 041,valid
75 + 95 = ???,75 + 95 = 170,valid
39 + 18 = ???,39 + 18 = 057,valid
28 + 69 = ???,28 + 69 = 097,valid
39 + 39 = ???,39 + 39 = 078,valid
30 + 46 = ???,30 + 46 = 076,valid
38 + 07 = ???,38 + 07 = 045,valid
64 + 45 = ???,64 + 45 = 109,valid
69 + 02 = ???,69 + 02 = 071,valid
69 + 99 = ???,69 + 99 = 168,valid
01 + 66 = ???,01 + 66 = 067,valid
68 + 09 = ???,68 + 09 = 077,valid
43 + 20 = ???,43 + 20 = 063,valid
17 + 71 = ???,17 + 71 = 088,valid
75 + 05 = ???,75 + 05 = 080,valid
29 + 51 = ???,29 + 51 = 080,valid
37 + 97 = ???,37 + 97 = 134,valid
92 + 37 = ???,92 + 37 = 129,valid
71 + 02 = ???,71 + 02 = 073,valid
41 + 23 = ???,41 + 23 = 064,valid
76 + 87 = ???,76 + 87 = 163,valid
42 + 55 = ???,42 + 55 = 097,valid
66 + 61 = ???,66 + 61 = 127,valid
17 + 31 = ???,17 + 31 = 048,valid
00 + 95 = ???,00 + 95 = 095,valid
51 + 09 = ???,51 + 09 = 060,valid
21 + 80 = ???,21 + 80 = 101,valid
98 + 92 = ???,98 + 92 = 190,valid
53 + 52 = ???,53 + 52 = 105,valid
42 + 62 = ???,42 + 62 = 104,valid
64 + 34 = ???,64 + 34 = 098,valid
10 + 99 = ???,10 + 99 = 109,valid
41 + 77 = ???,41 + 77 = 118,valid
89 + 41 = ???,89 + 41 = 130,valid
58 + 86 = ???,58 + 86 = 144,valid
13 + 17 = ???,13 + 17 = 030,valid
14 + 72 = ???,14 + 72 = 086,valid
87 + 34 = ???,87 + 34 = 121,valid
51 + 55 = ???,51 + 55 = 106,valid
71 + 16 = ???,71 + 16 = 087,valid
30 + 71 = ???,30 + 71 = 101,valid
11 + 63 = ???,11 + 63 = 074,valid
24 + 49 = ???,24 + 49 = 073,valid
61 + 32 = ???,61 + 32 = 093,valid
56 + 02 = ???,56 + 02 = 058,valid
96 + 14 = ???,96 + 14 = 110,valid
45 + 40 = ???,45 + 40 = 085,valid
06 + 40 = ???,06 + 40 = 046,valid
00 + 74 = ???,00 + 74 = 074,valid
59 + 57 = ???,59 + 57 = 116,valid
67 + 15 = ???,67 + 15 = 082,valid
30 + 45 = ???,30 + 45 = 075,valid
68 + 72 = ???,68 + 72 = 140,valid
84 + 11 = ???,84 + 11 = 095,valid
15 + 78 = ???,15 + 78 = 093,valid
45 + 08 = ???,45 + 08 = 053,valid
03 + 36 = ???,03 + 36 = 039,valid
13 + 62 = ???,13 + 62 = 075,valid
56 + 68 = ???,56 + 68 = 124,valid
67 + 06 = ???,67 + 06 = 073,valid
40 + 93 = ???,40 + 93 = 133,valid
87 + 61 = ???,87 + 61 = 148,valid
93 + 33 = ???,93 + 33 = 126,valid
73 + 27 = ???,73 + 27 = 100,valid
93 + 23 = ???,93 + 23 = 116,valid
09 + 25 = ???,09 + 25 = 034,valid
35 + 01 = ???,35 + 01 = 036,valid
44 + 01 = ???,44 + 01 = 045,valid
64 + 44 = ???,64 + 44 = 108,valid
34 + 68 = ???,34 + 68 = 102,valid
64 + 47 = ???,64 + 47 = 111,valid
78 + 82 = ???,78 + 82 = 160,valid
47 + 90 = ???,47 + 90 = 137,valid
74 + 25 = ???,74 + 25 = 099,valid
48 + 54 = ???,48 + 54 = 102,valid
94 + 43 = ???,94 + 43 = 137,valid
57 + 32 = ???,57 + 32 = 089,valid
55 + 82 = ???,55 + 82 = 137,valid
68 + 10 = ???,68 + 10 = 078,valid
54 + 09 = ???,54 + 09 = 063,valid
30 + 23 = ???,30 + 23 = 053,valid
11 + 54 = ???,11 + 54 = 065,valid
85 + 50 = ???,85 + 50 = 135,valid
06 + 78 = ???,06 + 78 = 084,valid
75 + 54 = ???,75 + 54 = 129,valid
89 + 77 = ???,89 + 77 = 166,valid
48 + 20 = ???,48 + 20 = 068,valid
53 + 12 = ???,53 + 12 = 065,valid
02 + 40 = ???,02 + 40 = 042,valid
13 + 84 = ???,13 + 84 = 097,valid
53 + 56 = ???,53 + 56 = 109,valid
49 + 42 = ???,49 + 42 = 091,valid
36 + 93 = ???,36 + 93 = 129,valid
97 + 87 = ???,97 + 87 = 184,valid
14 + 64 = ???,14 + 64 = 078,valid
54 + 24 = ???,54 + 24 = 078,valid
00 + 37 = ???,00 + 37 = 037,valid
03 + 53 = ???,03 + 53 = 056,valid
79 + 86 = ???,79 + 86 = 165,valid
